owner,sims,win_prob,mean_score,median_score,std_score,p10_score,p25_score,p75_score,p90_score,min_score,max_score,mean_group_base,mean_group_upset,mean_ko_match_pts,mean_ko_advance,mean_qualifiers,mean_ko_wins,champion_prob
Gunner,20000,0.2998,70.524,62.0,33.966,34.0,44.0,91.0,122.0,8.0,222.0,27.011,2.768,14.157,26.587,4.381,4.719,0.1532
Devin,20000,0.2504,63.857,55.0,33.311,29.0,38.0,83.0,116.0,7.0,217.0,24.79,2.29,12.469,24.308,3.88,4.156,0.1546
Gayden,20000,0.229,62.614,55.0,31.242,30.0,40.0,78.0,111.0,4.0,204.0,25.744,3.397,12.083,21.389,4.149,4.028,0.109
Zach,20000,0.2208,61.29,52.0,31.67,29.0,38.0,77.0,112.0,7.0,211.0,25.428,2.336,11.84,21.686,4.039,3.947,0.1222
