alias,canonical,note
Korea Republic,South Korea,Draft name vs schedule name
Turkey,Türkiye,Draft name vs schedule name
USA,United States,Draft name vs schedule name
Bosnia,Bosnia and Herzegovina,Draft name vs schedule name
Curaçao,Curacao,Diacritic normalization (schedule uses both spellings)
South Korea,South Korea,identity
