date,phase,group,team1,team2,team1_owner,team2_owner,team1_tier,team2_tier,venue,time_et
2026-06-26,group,G,Egypt,Iran,Gunner,,3,,Seattle,11 p.m. ET
2026-06-26,group,G,New Zealand,Belgium,,,,,"Vancouver, Canada",11 p.m. ET
2026-06-27,group,L,Panama,England,,Gayden,,1,"East Rutherford, N.J.",5 p.m. ET
2026-06-27,group,L,Croatia,Ghana,,Zach,,3,Philadelphia,5 p.m. ET
2026-06-27,group,K,Colombia,Portugal,,,,,"Miami Gardens, Fla.",7:30 p.m. ET
2026-06-27,group,K,DR Congo,Uzbekistan,Gunner,,4,,Atlanta Stadium,7:30 p.m. ET
2026-06-27,group,J,Algeria,Austria,,Zach,,2,"Kansas City, Mo.",10 p.m. ET
2026-06-27,group,J,Jordan,Argentina,Gayden,,4,,"Arlington, Texas",10 p.m. ET
2026-06-28,round_of_32,,South Africa,Canada,Devin,Gunner,3,3,"Inglewood, Calif.",3 p.m. ET
2026-06-29,round_of_32,,Germany,Paraguay,Rafe,,1,3,Houston,1 p.m. ET
2026-06-29,round_of_32,,Netherlands,Morocco,,Gunner,1,2,"Foxborough, Mass.",4:30 p.m. ET
2026-06-29,round_of_32,,Brazil,Japan,Zach,Gayden,1,2,"Guadalupe, Mexico",9 p.m. ET
2026-06-30,round_of_32,,France,Sweden,Gunner,,1,2,"Arlington, Texas",1 p.m. ET
2026-06-30,round_of_32,,Ivory Coast,Norway,Gayden,Devin,2,2,"East Rutherford, N.J.",5 p.m. ET
2026-06-30,round_of_32,,Mexico,Ecuador,Rafe,Rafe,2,2,Mexico City,9 p.m. ET
2026-07-01,round_of_32,,England,DR Congo,Gayden,Gunner,1,4,Atlanta,noon ET
2026-07-01,round_of_32,,USA,Bosnia,Devin,Devin,2,3,Seattle,4 p.m. ET
2026-07-01,round_of_32,,Belgium,Senegal,,Gunner,1,2,"Santa Clara, Calif.",8 p.m. ET
2026-07-02,round_of_32,,Portugal,Croatia,,,1,1,"Inglewood, Calif.",3 p.m. ET
2026-07-02,round_of_32,,Spain,Austria,Devin,Zach,1,2,Toronto,7 p.m. ET
2026-07-02,round_of_32,,Switzerland,Algeria,Zach,,2,3,"Vancouver, Canada",11 p.m. ET
2026-07-03,round_of_32,,Argentina,Cape Verde,,,1,4,"Arlington, Texas",2 p.m. ET
2026-07-03,round_of_32,,Colombia,Ghana,,Zach,1,3,"Miami Gardens, Fla.",6 p.m. ET
2026-07-03,round_of_32,,Australia,Egypt,,Gunner,3,3,"Kansas City, Mo.",9:30 p.m. ET
2026-07-04,round_of_16,,TBD,TBD,TBD,TBD,TBD,TBD,Houston,1 p.m. ET
2026-07-04,round_of_16,,TBD,TBD,TBD,TBD,TBD,TBD,Philadelphia,5 p.m. ET
2026-07-05,round_of_16,,Brazil,Norway,Zach,Devin,1,2,"East Rutherford, N.J.",4 p.m. ET
2026-07-05,round_of_16,,Mexico,England,Rafe,Gayden,2,1,Mexico City,8 p.m. ET
2026-07-06,round_of_16,,TBD,TBD,TBD,TBD,TBD,TBD,"Arlington, Texas",3 p.m. ET
2026-07-06,round_of_16,,USA,Belgium,Devin,,2,1,Seattle,5 p.m. ET
2026-07-07,round_of_16,,TBD,TBD,TBD,TBD,TBD,TBD,Atlanta,noon ET
2026-07-07,round_of_16,,TBD,TBD,TBD,TBD,TBD,TBD,"Vancouver, Canada",4 p.m. ET
2026-07-09,quarterfinal,,TBD,TBD,TBD,TBD,TBD,TBD,"Foxborough, Mass.",4 p.m. ET
2026-07-10,quarterfinal,,TBD,TBD,TBD,TBD,TBD,TBD,"Inglewood, Calif.",3 p.m. ET
2026-07-11,quarterfinal,,TBD,TBD,TBD,TBD,TBD,TBD,"Miami Gardens, Fla.",5 p.m. ET
2026-07-11,quarterfinal,,TBD,TBD,TBD,TBD,TBD,TBD,"Kansas City, Mo.",9 p.m. ET
2026-07-14,semifinal,,TBD,TBD,TBD,TBD,TBD,TBD,"Arlington, Texas",3 p.m. ET
2026-07-15,semifinal,,TBD,TBD,TBD,TBD,TBD,TBD,Atlanta,3 p.m. ET
2026-07-18,third_place,,TBD,TBD,TBD,TBD,TBD,TBD,"Miami Gardens, Fla.",5 p.m. ET
2026-07-19,final,,TBD,TBD,TBD,TBD,TBD,TBD,"East Rutherford, N.J.",3 p.m. ET
